-4,51,-2
-5,57,-3
-5,58,-2
-4,58,-2
-3,58,-3
-3,57,-4
-3,58,-4
-4,58,-5
-14,62,-4
-3,65,-4
3,57,-9
-3,56,-7
-2,56,-7
-3,57,-8
-4,59,-8
-4,60,-7
-3,61,-6
-4,61,-5
-3,60,-5
-3,60,-5
-3,61,-5
-4,62,-4
-4,62,-4
-4,62,-4
-4,62,-4
-4,62,-4
-4,62,-4
-4,62,-4
-4,62,-4
-4,62,-4
-4,62,-5
-4,62,-6
5,65,-5
5,65,-6
6,65,-5
6,65,-5
6,64,-5
6,64,-5
7,65,-5
7,66,-7
7,69,-10
6,68,-6
5,68,-5
3,72,-7
2,77,-8
0,80,-7
-1,82,-6
-2,84,-3
-3,84,0
-3,83,4
-2,81,7
-1,78,10
1,74,11
4,69,11
5,65,10
7,61,9
9,58,9
11,55,7
11,53,6
11,52,5
12,50,3
13,48,1
14,47,-1
14,46,-3
15,45,-5
15,46,-5
15,46,-6
16,47,-5
15,48,-4
14,49,-3
14,50,-2
14,52,-2
13,53,-1
11,55,0
11,57,0
11,59,1
11,61,1
10,62,1
10,63,1
9,64,1
9,65,1
9,65,1
8,66,1
8,65,2
8,65,2
8,65,3
8,64,3
8,64,3
8,63,4
7,62,4
7,61,4
9,64,0
4,60,5
6,57,8
5,57,7
4,57,7
3,55,7
2,57,5
1,57,5
1,57,5
0,57,5
0,58,6
0,58,5
1,61,0
-2,60,3
-1,59,6
-2,60,6
-1,60,7
0,63,4
-1,66,0
-1,67,0
-1,67,-1
0,68,-1
1,68,-1
1,68,-1
1,69,-2
1,68,-2
2,68,-2
2,68,-2
2,67,-2
2,67,-2
3,66,-2
3,65,-2
3,64,-2
3,63,-2
3,62,-2
3,62,-3
3,61,-3
3,61,-4
3,61,-4
3,61,-4
3,61,-4
3,62,-5
3,64,-8
1,62,-3
2,61,-1
2,59,2
1,65,-4
0,64,-3
0,64,-2
-1,64,-2
-1,63,-2
-2,63,-1
-2,63,-2
-2,63,-2
-2,63,-2
-2,63,-4
-3,64,-5
-4,60,-2
-4,59,1
-3,59,0
-4,59,-1
-4,59,-2
-4,60,-3
-5,60,-3
-5,60,-3
-5,59,-2
-5,59,-2
-5,59,-2
-5,60,-4
-5,61,-4
-4,60,-2
-4,62,-4
-4,62,-4
-4,63,-4
-4,63,-5
-4,61,-3
-3,61,-3
-4,62,-4
-3,62,-4
-3,62,-4
-3,61,-4
-3,62,-5
-3,61,-5
-3,62,-6
-3,63,-8
-4,61,-5
-3,59,-3
-3,60,-5
-4,61,-7
-3,61,-7
-3,61,-7
-4,61,-7
-4,61,-8
-4,61,-8
-4,61,-8
-4,61,-8
-4,61,-9
-4,61,-8
-5,61,-9
-5,61,-9
-6,61,-9
-7,61,-9
-7,61,-9
-7,61,-9
-7,61,-9
-7,60,-9
-7,60,-9
-7,60,-9
-7,60,-9
-7,60,-9
-7,60,-9
-7,60,-10
-6,60,-10
-6,60,-10
-6,60,-10
-5,60,-10
-5,60,-10
-5,60,-11
-4,60,-11
-4,59,-11
-4,59,-11
-4,59,-12
-4,60,-12
-4,60,-12
-4,60,-12
-4,60,-12
-4,60,-12
-4,59,-11
-5,59,-11
-4,59,-11
-5,60,-11
-5,60,-11
-5,59,-10
-5,61,-13
-5,61,-12
-4,60,-11
-5,61,-11
-5,61,-11
-5,60,-11
-5,60,-11
-5,60,-11
-5,60,-11
-5,59,-10
-5,60,-11
-5,60,-12
-5,60,-12
-5,59,-11
-5,59,-11
-5,60,-11
-5,60,-12
-5,60,-11
-5,60,-11
-5,60,-11
